,reg_1,reg_2
2178,Temecula Valley,South Coast
2179,Arroyo Seco,Central Coast
2180,Hudson River Region,New York Other
2181,California,California Other
2182,Red Mountain,Columbia Valley
2183,Columbia Valley (WA),Columbia Valley
2184,Seneca Lake,Finger Lakes
2185,California,California Other
2186,Columbia Valley (OR),Oregon Other
2187,Howell Mountain,Napa
2188,Alexander Valley,Sonoma
2189,Rogue Valley,Southern Oregon
2190,Rutherford,Napa
2191,Sonoma Valley,Sonoma
2192,Stags Leap District,Napa
2193,Santa Barbara County,Central Coast
2194,Paso Robles,Central Coast
2195,El Dorado,Sierra Foothills
2196,Russian River Valley,Sonoma
2197,Rogue Valley,Southern Oregon
2198,Napa Valley,Napa
2199,Mount Veeder,Napa
2200,Sonoma County,Sonoma
2201,Walla Walla Valley (WA),Columbia Valley
2202,Oakville,Napa
2203,Walla Walla Valley (WA),Columbia Valley
2204,Russian River Valley,Sonoma
2205,Diamond Mountain District,Napa
2206,Diamond Mountain District,Napa
2207,Yakima Valley,Columbia Valley
2208,Santa Maria Valley,Central Coast
2209,Napa Valley,Napa
2210,Pine Mountain-Cloverdale Peak,Sonoma
2211,Walla Walla Valley (WA),Columbia Valley
2212,Oregon,Oregon Other
2213,Russian River Valley,Sonoma
2214,Napa Valley,Napa
2215,Mt. Harlan,Central Coast
2216,Dundee Hills,Willamette Valley
2217,Diamond Mountain District,Napa
2218,Russian River Valley,Sonoma
2219,Yakima Valley,Columbia Valley
2220,Sonoma Coast,Sonoma
2221,Russian River Valley,Sonoma
2222,Pine Mountain-Cloverdale Peak,Sonoma
2223,Russian River Valley,Sonoma
2224,Spring Mountain District,Napa
2225,Alexander Valley,Sonoma
2226,California,California Other
2227,Paso Robles,Central Coast
2228,Paso Robles,Central Coast
2229,Paso Robles,Central Coast
2230,California,California Other
2231,California,California Other
2232,California,California Other
2233,Livermore Valley,Central Coast
2234,Calaveras County,Sierra Foothills
2235,Russian River Valley,Sonoma
2236,Columbia Valley (WA),Columbia Valley
2237,Walla Walla Valley (WA),Columbia Valley
2238,Columbia Valley (OR),Oregon Other
2239,Sta. Rita Hills,Central Coast
2240,San Bernabe,Central Coast
2241,Adelaida District,Central Coast
2242,Lodi,Central Valley
2243,Diamond Mountain District,Napa
2244,Santa Ynez Valley,Central Coast
2245,Fiddletown,Sierra Foothills
2246,Paso Robles,Central Coast
2247,Walla Walla Valley (OR),Oregon Other
2248,Oakville,Napa
2249,Alexander Valley,Sonoma
2250,Santa Maria Valley,Central Coast
2251,Dry Creek Valley,Sonoma
2252,Ben Lomond Mountain,Central Coast
2253,Walla Walla Valley (OR),Oregon Other
2254,California,California Other
2255,California,California Other
2256,Napa Valley,Napa
2257,Columbia Valley (WA),Columbia Valley
2258,Lodi,Central Valley
2259,North Fork of Long Island,Long Island
2260,Russian River Valley,Sonoma
2261,Alexander Valley,Sonoma
2262,Oakville,Napa
2263,Dry Creek Valley,Sonoma
2264,Rattlesnake Hills,Columbia Valley
2265,St. Helena,Napa
2266,Oakville,Napa
2267,Napa Valley,Napa
2268,Columbia Valley (WA),Columbia Valley
2269,California,California Other
2270,Columbia Valley (WA),Columbia Valley
2271,Yakima Valley,Columbia Valley
2272,Walla Walla Valley (WA),Columbia Valley
2273,Sonoma Coast,Sonoma
2274,Columbia Valley (WA),Columbia Valley
2275,Columbia Valley (WA),Columbia Valley
2276,Red Mountain,Columbia Valley
2277,Rockpile,Sonoma
2278,Columbia Valley (WA),Columbia Valley
2279,Columbia Valley (WA),Columbia Valley
2280,Napa Valley,Napa
2281,Yakima Valley,Columbia Valley
2282,Rutherford,Napa
2283,Sonoma County,Sonoma
2284,Dry Creek Valley,Sonoma
2285,Rogue Valley,Southern Oregon
2286,Columbia Valley (WA),Columbia Valley
2287,Rogue Valley,Southern Oregon
2288,California,California Other
2289,Napa Valley,Napa
2290,California,California Other
2291,Lodi,Central Valley
2292,Lodi,Central Valley
2293,California,California Other
2294,Horse Heaven Hills,Columbia Valley
2295,Santa Clara Valley,Central Coast
2296,Sonoma County,Sonoma
2297,Paso Robles,Central Coast
2298,Seneca Lake,Finger Lakes
2299,Lodi,Central Valley
2300,New York,New York Other
2301,North Fork of Long Island,Long Island
2302,Sonoma Mountain,Sonoma
2303,Wahluke Slope,Columbia Valley
2304,Yakima Valley,Columbia Valley
2305,Napa Valley,Napa
2306,Columbia Valley (WA),Columbia Valley
2307,Sonoma Coast,Sonoma
2308,Russian River Valley,Sonoma
2309,Russian River Valley,Sonoma
2310,Columbia Valley (WA),Columbia Valley
2311,Howell Mountain,Napa
2312,Carneros,Napa-Sonoma
2313,Sonoma Coast,Sonoma
2314,Russian River Valley,Sonoma
2315,Russian River Valley,Sonoma
2316,Dry Creek Valley,Sonoma
2317,Howell Mountain,Napa
2318,Napa Valley,Napa
2319,Sonoma County,Sonoma
2320,San Benito County,Central Coast
2321,Sonoma Coast,Sonoma
2322,Alexander Valley,Sonoma
2323,Alexander Valley,Sonoma
2324,Sonoma County,Sonoma
2325,Sonoma Valley,Sonoma
2326,Carneros,Napa-Sonoma
2327,St. Helena,Napa
2328,Russian River Valley,Sonoma
2329,Santa Ynez Valley,Central Coast
2330,Russian River Valley,Sonoma
2331,Sonoma Coast,Sonoma
2332,Sonoma Valley,Sonoma
2333,Napa Valley,Napa
2334,Napa Valley,Napa
2335,Santa Ynez Valley,Central Coast
2336,Red Mountain,Columbia Valley
2337,Santa Barbara County,Central Coast
2338,Sta. Rita Hills,Central Coast
2339,Yakima Valley,Columbia Valley
2340,Columbia Valley (WA),Columbia Valley
2341,Red Mountain,Columbia Valley
2342,Horse Heaven Hills,Columbia Valley
2343,Rutherford,Napa
2344,Paso Robles,Central Coast
2345,Paso Robles,Central Coast
2346,Santa Maria Valley,Central Coast
2347,Russian River Valley,Sonoma
2348,Red Mountain,Columbia Valley
2349,Napa Valley,Napa
2350,Fort Ross-Seaview,Sonoma
2351,Napa Valley,Napa
2352,Sonoma Coast,Sonoma
2353,Russian River Valley,Sonoma
2354,Mount Veeder,Napa
2355,Columbia Valley (WA),Columbia Valley
2356,Lodi,Central Valley
2357,Santa Barbara County,Central Coast
2358,Walla Walla Valley (WA),Columbia Valley
2359,Russian River Valley,Sonoma
2360,Columbia Valley (WA),Columbia Valley
2361,Columbia Valley (WA),Columbia Valley
2362,Seneca Lake,Finger Lakes
2363,Napa Valley,Napa
2364,Columbia Valley (WA),Columbia Valley
2365,Napa Valley,Napa
2366,Russian River Valley,Sonoma
2367,Wahluke Slope,Columbia Valley
2368,Santa Lucia Highlands,Central Coast
2369,Red Mountain,Columbia Valley
2370,Green Valley,Sonoma
2371,Happy Canyon of Santa Barbara,Central Coast
2372,Washington,Washington Other
2373,Napa Valley,Napa
2374,Alexander Valley,Sonoma
2375,Santa Lucia Highlands,Central Coast
2376,Howell Mountain,Napa
2377,Columbia Valley (WA),Columbia Valley
2378,Marin County,North Coast
2379,Clarksburg,Central Valley
2380,Russian River Valley,Sonoma
2381,California,California Other
2382,Sta. Rita Hills,Central Coast
2383,Columbia Valley (WA),Columbia Valley
2384,"The Hamptons, Long Island",Long Island
2385,Clarksburg,Central Valley
2386,California,California Other
2387,Columbia Gorge (OR),Oregon Other
2388,Livermore Valley,Central Coast
2389,Livermore Valley,Central Coast
2390,Napa Valley,Napa
2391,Russian River Valley,Sonoma
2392,Paso Robles,Central Coast
2393,Carneros,Napa-Sonoma
2394,Sta. Rita Hills,Central Coast
2395,Carneros,Napa-Sonoma
2396,Sonoma Coast,Sonoma
2397,Santa Ynez Valley,Central Coast
2398,Contra Costa County,Central Coast
2399,Paso Robles,Central Coast
2400,Santa Barbara County,Central Coast
2401,Rogue Valley,Southern Oregon
2402,Rogue Valley,Southern Oregon
2403,Oregon,Oregon Other
2404,Lodi,Central Valley
2405,Chehalem Mountains,Willamette Valley
2406,Sonoma Coast,Sonoma
2407,Santa Maria Valley,Central Coast
2408,Sta. Rita Hills,Central Coast
2409,Edna Valley,Central Coast
2410,Russian River Valley,Sonoma
2411,Monterey,Central Coast
2412,Russian River Valley,Sonoma
2413,St. Helena,Napa
2414,Dundee Hills,Willamette Valley
2415,Yountville,Napa
2416,Sta. Rita Hills,Central Coast
2417,Sonoma Coast,Sonoma
2418,Santa Lucia Highlands,Central Coast
2419,Horse Heaven Hills,Columbia Valley
2420,Yakima Valley,Columbia Valley
2421,California,California Other
2422,Lodi,Central Valley
2423,Russian River Valley,Sonoma
2424,Amador County,Sierra Foothills
2425,California,California Other
2426,Dry Creek Valley,Sonoma
2427,California,California Other
2428,California,California Other
2429,California,California Other
2430,Sonoma Coast,Sonoma
2431,Santa Ynez Valley,Central Coast
2432,Paso Robles,Central Coast
2433,Napa Valley,Napa
2434,Paso Robles,Central Coast
2435,Horse Heaven Hills,Columbia Valley
2436,Santa Cruz Mountains,Central Coast
2437,Columbia Valley (WA),Columbia Valley
2438,Dry Creek Valley,Sonoma
2439,Rutherford,Napa
2440,Napa Valley,Napa
2441,Rutherford,Napa
2442,Rutherford,Napa
2443,Spring Mountain District,Napa
2444,Knights Valley,Sonoma
2445,Russian River Valley,Sonoma
2446,California,California Other
2447,Rockpile,Sonoma
2448,Russian River Valley,Sonoma
2449,Russian River Valley,Sonoma
2450,Umpqua Valley,Southern Oregon
2451,Carneros,Napa-Sonoma
2452,Carneros,Napa-Sonoma
2453,California,California Other
2454,Livermore Valley,Central Coast
2455,Napa Valley,Napa
2456,California,California Other
2457,Livermore Valley,Central Coast
2458,Paso Robles,Central Coast
2459,Columbia Valley (WA),Columbia Valley
2460,Sonoma Coast,Sonoma
2461,Napa Valley,Napa
2462,Napa Valley,Napa
2463,Ribbon Ridge,Willamette Valley
2464,Sonoma County,Sonoma
2465,Oregon,Oregon Other
2466,Santa Barbara County,Central Coast
2467,Sonoma County,Sonoma
2468,Russian River Valley,Sonoma
2469,Santa Ynez Valley,Central Coast
2470,Carmel Valley,Central Coast
2471,Chehalem Mountains,Willamette Valley
2472,Napa Valley,Napa
2473,Oregon,Oregon Other
2474,Carmel Valley,Central Coast
2475,Oregon,Oregon Other
2476,Napa Valley,Napa
2477,Napa Valley,Napa
2478,Napa Valley,Napa
2479,Santa Ynez Valley,Central Coast
2480,California,California Other
2481,Napa County,Napa
2482,Santa Lucia Highlands,Central Coast
2483,North Fork of Long Island,Long Island
2484,Oakville,Napa
2485,Oak Knoll District,Napa
2486,Russian River Valley,Sonoma
2487,Red Mountain,Columbia Valley
2488,Red Mountain,Columbia Valley
2489,Napa Valley,Napa
2490,Carneros,Napa-Sonoma
2491,Columbia Valley (WA),Columbia Valley
2492,Temecula Valley,South Coast
2493,Oregon,Oregon Other
2494,McMinnville,Willamette Valley
2495,Dry Creek Valley,Sonoma
2496,Napa Valley,Napa
2497,Paso Robles,Central Coast
2498,Napa Valley,Napa
2499,Carneros,Napa-Sonoma
2500,Rattlesnake Hills,Columbia Valley
2501,Alexander Valley,Sonoma
2502,Napa Valley,Napa
2503,Santa Barbara County,Central Coast
2504,Napa Valley,Napa
2505,Yakima Valley,Columbia Valley
2506,Columbia Valley (WA),Columbia Valley
2507,Santa Lucia Highlands,Central Coast
2508,Columbia Valley (WA),Columbia Valley
2509,Walla Walla Valley (WA),Columbia Valley
2510,Columbia Valley (WA),Columbia Valley
2511,Los Carneros,Napa-Sonoma
2512,Paso Robles,Central Coast
2513,North Fork of Long Island,Long Island
2514,Paso Robles,Central Coast
2515,Amador County,Sierra Foothills
2516,Santa Barbara County,Central Coast
2517,North Fork of Long Island,Long Island
2518,Walla Walla Valley (WA),Columbia Valley
2519,Carneros,Napa-Sonoma
2520,Napa Valley,Napa
2521,Carneros,Napa-Sonoma
2522,Amador County,Sierra Foothills
2523,Russian River Valley,Sonoma
2524,Paso Robles Willow Creek District,Central Coast
2525,Red Mountain,Columbia Valley
2526,Oak Knoll District,Napa
2527,Sonoma Coast,Sonoma
2528,Temecula Valley,South Coast
2529,Ballard Canyon,Central Coast
2530,Horse Heaven Hills,Columbia Valley
2531,Columbia Valley (WA),Columbia Valley
2532,Paso Robles,Central Coast
2533,Amador County,Sierra Foothills
2534,California,California Other
2535,Lodi,Central Valley
2536,Sonoma County,Sonoma
2537,New York,New York Other
2538,Paso Robles,Central Coast
2539,California,California Other
2540,California,California Other
2541,Paso Robles,Central Coast
2542,Arroyo Grande Valley,Central Coast
2543,Livermore Valley,Central Coast
2544,Paso Robles,Central Coast
2545,Columbia Valley (WA),Columbia Valley
2546,Columbia Valley (WA),Columbia Valley
2547,Columbia Valley (WA),Columbia Valley
2548,Carneros,Napa-Sonoma
2549,Washington,Washington Other
2550,Columbia Gorge (WA),Washington Other
2551,Oak Knoll District,Napa
2552,Columbia Valley (WA),Columbia Valley
2553,Fort Ross-Seaview,Sonoma
2554,Washington,Washington Other
2555,Columbia Valley (WA),Columbia Valley
2556,Red Mountain,Columbia Valley
2557,Sonoma County,Sonoma
2558,Santa Lucia Highlands,Central Coast
2559,Santa Barbara-Monterey,North Coast
2560,Russian River Valley,Sonoma
2561,Yakima Valley,Columbia Valley
2562,Sta. Rita Hills,Central Coast
2563,Carmel Valley,Central Coast
2564,Napa Valley,Napa
2565,Columbia Valley (WA),Columbia Valley
2566,Napa Valley,Napa
2567,Russian River Valley,Sonoma
2568,Russian River Valley,Sonoma
2569,Amador County,Sierra Foothills
2570,Rockpile,Sonoma
2571,Russian River Valley,Sonoma
2572,Knights Valley,Sonoma
2573,Dry Creek Valley,Sonoma
2574,Sonoma County,Sonoma
2575,Sonoma County,Sonoma
2576,Carneros,Napa-Sonoma
2577,Monterey County,Central Coast
2578,Oregon,Oregon Other
2579,Alexander Valley,Sonoma
2580,North Fork of Long Island,Long Island
2581,Alexander Valley,Sonoma
2582,Sonoma County,Sonoma
2583,Monterey,Central Coast
2584,Oregon,Oregon Other
2585,Oregon,Oregon Other
2586,El Dorado County,Sierra Foothills
2587,Paso Robles,Central Coast
2588,Sonoma Valley,Sonoma
2589,California,California Other
2590,California,California Other
2591,Cayuga Lake,Finger Lakes
2592,Yakima Valley,Columbia Valley
2593,Yakima Valley,Columbia Valley
2594,Yakima Valley,Columbia Valley
2595,Walla Walla Valley (WA),Columbia Valley
2596,Columbia Valley (WA),Columbia Valley
2597,California,California Other
2598,Napa Valley,Napa
2599,Napa Valley,Napa
2600,Paso Robles,Central Coast
2601,Alexander Valley,Sonoma
2602,Oregon,Oregon Other
2603,Oregon,Oregon Other
2604,California,California Other
2605,Santa Barbara County,Central Coast
2606,Paso Robles,Central Coast
2607,Sta. Rita Hills,Central Coast
2608,Santa Ynez Valley,Central Coast
2609,Temecula,South Coast
2610,Russian River Valley,Sonoma
2611,El Dorado,Sierra Foothills
2612,Rutherford,Napa
2613,St. Helena,Napa
2614,Marin County,North Coast
2615,Dry Creek Valley,Sonoma
2616,Santa Barbara County,Central Coast
2617,Arroyo Seco,Central Coast
2618,St. Helena,Napa
2619,Monterey,Central Coast
2620,Sonoma Valley,Sonoma
2621,Sonoma Coast,Sonoma
2622,Santa Lucia Highlands,Central Coast
2623,Sonoma County,Sonoma
2624,Napa Valley,Napa
2625,Napa Valley,Napa
2626,Alexander Valley,Sonoma
2627,Napa Valley,Napa
2628,Sonoma Valley,Sonoma
2629,Mt. Harlan,Central Coast
2630,Edna Valley,Central Coast
2631,Oregon,Oregon Other
2632,Russian River Valley,Sonoma
2633,Carmel Valley,Central Coast
2634,Lodi,Central Valley
2635,California,California Other
2636,Russian River Valley,Sonoma
2637,Sonoma Coast,Sonoma
2638,Monterey County,Central Coast
2639,Santa Barbara County,Central Coast
2640,Paso Robles,Central Coast
2641,California,California Other
2642,Sonoma Coast,Sonoma
2643,California,California Other
2644,Chehalem Mountains,Willamette Valley
2645,Clarksburg,Central Valley
2646,Carneros,Napa-Sonoma
2647,Napa Valley,Napa
2648,Sonoma Valley,Sonoma
2649,Shenandoah Valley (CA),Sierra Foothills
2650,McMinnville,Willamette Valley
2651,Napa Valley,Napa
2652,Yountville,Napa
2653,Alexander Valley,Sonoma
2654,Sonoma Valley,Sonoma
2655,Columbia Valley (WA),Columbia Valley
2656,Arroyo Seco,Central Coast
2657,Cayuga Lake,Finger Lakes
2658,New York,New York Other
2659,Cayuga Lake,Finger Lakes
2660,Napa Valley,Napa
2661,California,California Other
2662,Monterey,Central Coast
2663,Columbia Valley (WA),Columbia Valley
2664,Columbia Valley (WA),Columbia Valley
2665,Santa Maria Valley,Central Coast
2666,Columbia Valley (WA),Columbia Valley
2667,Russian River Valley,Sonoma
2668,Sonoma County,Sonoma
2669,Carneros,Napa-Sonoma
2670,Shenandoah Valley (CA),Sierra Foothills
2671,Napa Valley,Napa
2672,Napa Valley,Napa
2673,Napa Valley,Napa
2674,Napa Valley,Napa
2675,Edna Valley,Central Coast
2676,Napa Valley,Napa
2677,Paso Robles,Central Coast
2678,Columbia Gorge (WA),Washington Other
2679,Washington,Washington Other
2680,Paso Robles,Central Coast
2681,Santa Lucia Highlands,Central Coast
2682,Oregon,Oregon Other
2683,Yakima Valley,Columbia Valley
2684,Sonoma Coast,Sonoma
2685,Yakima Valley,Columbia Valley
2686,Paicines,Central Coast
2687,Green Valley,Sonoma
2688,Napa Valley,Napa
2689,Sta. Rita Hills,Central Coast
2690,Napa Valley,Napa
2691,Columbia Valley (WA),Columbia Valley
2692,Napa Valley,Napa
2693,Columbia Valley (WA),Columbia Valley
2694,Russian River Valley,Sonoma
2695,Walla Walla Valley (WA),Columbia Valley
2696,Horse Heaven Hills,Columbia Valley
2697,Green Valley,Sonoma
2698,Carneros,Napa-Sonoma
2699,Columbia Valley (WA),Columbia Valley
2700,Yakima Valley,Columbia Valley
2701,Santa Barbara County,Central Coast
2702,Columbia Valley (WA),Columbia Valley
2703,Paso Robles,Central Coast
2704,Paso Robles,Central Coast
2705,Napa Valley,Napa
2706,Columbia Valley (WA),Columbia Valley
2707,Santa Barbara County,Central Coast
2708,Walla Walla Valley (WA),Columbia Valley
2709,Walla Walla Valley (WA),Columbia Valley
2710,Columbia Valley (WA),Columbia Valley
2711,Columbia Valley (WA),Columbia Valley
2712,Sonoma County,Sonoma
2713,Bennett Valley,Sonoma
2714,Columbia Valley (WA),Columbia Valley
2715,Napa Valley,Napa
2716,Columbia Valley (WA),Columbia Valley
2717,California,California Other
2718,Paso Robles,Central Coast
2719,Napa-Carneros,Napa
2720,Columbia Valley (WA),Columbia Valley
2721,Columbia Valley (WA),Columbia Valley
2722,Yakima Valley,Columbia Valley
2723,Lodi,Central Valley
2724,Red Mountain,Columbia Valley
2725,Russian River Valley,Sonoma
2726,Russian River Valley,Sonoma
2727,Columbia Valley (WA),Columbia Valley
2728,Columbia Valley (WA),Columbia Valley
2729,Columbia Valley (WA),Columbia Valley
2730,Yorkville Highlands,North Coast
2731,Columbia Valley (WA),Columbia Valley
2732,Columbia Valley (WA),Columbia Valley
2733,Columbia Valley (WA),Columbia Valley
2734,Dry Creek Valley,Sonoma
2735,Oakville,Napa
2736,Paso Robles,Central Coast
2737,San Luis Obispo County,Central Coast
2738,Russian River Valley,Sonoma
2739,Stags Leap District,Napa
2740,Dundee Hills,Willamette Valley
2741,Santa Cruz Mountains,Central Coast
2742,Napa Valley,Napa
2743,Diamond Mountain District,Napa
2744,Diamond Mountain District,Napa
2745,Russian River Valley,Sonoma
2746,Santa Cruz Mountains,Central Coast
2747,Napa Valley,Napa
2748,Sta. Rita Hills,Central Coast
2749,Russian River Valley,Sonoma
2750,Dry Creek Valley,Sonoma
2751,Carneros,Napa-Sonoma
2752,Sta. Rita Hills,Central Coast
2753,Oregon,Oregon Other
2754,Monterey County,Central Coast
2755,Paso Robles,Central Coast
2756,Sta. Rita Hills,Central Coast
2757,Spring Mountain District,Napa
2758,Eola-Amity Hills,Willamette Valley
2759,Paso Robles,Central Coast
2760,Sonoma County,Sonoma
2761,Lodi,Central Valley
2762,Napa Valley,Napa
2763,Lodi,Central Valley
2764,Napa Valley,Napa
2765,Oregon,Oregon Other
2766,Carneros,Napa-Sonoma
2767,Calistoga,Napa
2768,Livermore Valley,Central Coast
2769,Santa Barbara County,Central Coast
2770,Yakima Valley,Columbia Valley
2771,Columbia Valley (WA),Columbia Valley
2772,Paso Robles,Central Coast
2773,Columbia Valley (WA),Columbia Valley
2774,Horse Heaven Hills,Columbia Valley
2775,Sonoma Coast,Sonoma
2776,Alexander Valley,Sonoma
2777,Russian River Valley,Sonoma
2778,Paso Robles,Central Coast
2779,Red Mountain,Columbia Valley
2780,California,California Other
2781,Paso Robles,Central Coast
2782,California,California Other
2783,Dry Creek Valley,Sonoma
2784,Russian River Valley,Sonoma
2785,Livermore Valley,Central Coast
2786,Napa Valley,Napa
2787,Columbia Valley (WA),Columbia Valley
2788,Napa Valley,Napa
2789,Napa Valley,Napa
2790,Carneros,Napa-Sonoma
2791,Paso Robles,Central Coast
2792,Monterey,Central Coast
2793,Russian River Valley,Sonoma
2794,Lodi,Central Valley
2795,Russian River Valley,Sonoma
2796,Napa Valley,Napa
2797,Russian River Valley,Sonoma
2798,Carmel Valley,Central Coast
2799,Russian River Valley,Sonoma
2800,Arroyo Seco,Central Coast
2801,Monterey County,Central Coast
2802,Yorkville Highlands,North Coast
2803,Napa Valley,Napa
2804,Russian River Valley,Sonoma
2805,California,California Other
2806,Santa Barbara County,Central Coast
2807,California,California Other
2808,Columbia Valley (WA),Columbia Valley
2809,Santa Ynez Valley,Central Coast
2810,Columbia Valley (WA),Columbia Valley
2811,Walla Walla Valley (WA),Columbia Valley
2812,California,California Other
2813,Sonoma County,Sonoma
2814,Santa Barbara County,Central Coast
2815,New York,New York Other
2816,Washington,Washington Other
2817,Columbia Valley (WA),Columbia Valley
2818,Santa Ynez Valley,Central Coast
2819,North Fork of Long Island,Long Island
2820,Napa Valley,Napa
2821,Walla Walla Valley (WA),Columbia Valley
2822,Stags Leap District,Napa
2823,Red Mountain,Columbia Valley
2824,Dry Creek Valley,Sonoma
2825,Santa Barbara County,Central Coast
2826,Dry Creek Valley,Sonoma
2827,Russian River Valley,Sonoma
2828,Sonoma Coast,Sonoma
2829,Russian River Valley,Sonoma
2830,Napa Valley,Napa
2831,Columbia Valley (WA),Columbia Valley
2832,Paso Robles,Central Coast
2833,Russian River Valley,Sonoma
2834,Sta. Rita Hills,Central Coast
2835,Santa Lucia Highlands,Central Coast
2836,Santa Maria Valley,Central Coast
2837,Napa County,Napa
2838,Yountville,Napa
2839,Sonoma Mountain,Sonoma
2840,Walla Walla Valley (WA),Columbia Valley
2841,Adelaida District,Central Coast
2842,Santa Cruz Mountains,Central Coast
2843,Columbia Valley (WA),Columbia Valley
2844,Santa Maria Valley,Central Coast
2845,Temecula Valley,South Coast
2846,Red Mountain,Columbia Valley
2847,Walla Walla Valley (WA),Columbia Valley
2848,Oregon,Oregon Other
2849,Dry Creek Valley,Sonoma
2850,Carneros,Napa-Sonoma
2851,Oregon,Oregon Other
2852,Yountville,Napa
2853,Carneros,Napa-Sonoma
2854,Russian River Valley,Sonoma
2855,Sonoma County,Sonoma
2856,Clarksburg,Central Valley
2857,Columbia Valley (WA),Columbia Valley
2858,Napa Valley,Napa
2859,Columbia Valley (WA),Columbia Valley
2860,Red Mountain,Columbia Valley
2861,Columbia Valley (WA),Columbia Valley
2862,Santa Barbara-Monterey,North Coast
2863,Yorkville Highlands,North Coast
2864,Santa Ynez Valley,Central Coast
2865,Santa Lucia Highlands,Central Coast
2866,Sonoma County,Sonoma
2867,Sonoma Coast,Sonoma
2868,Santa Maria Valley,Central Coast
2869,Napa Valley,Napa
2870,Dry Creek Valley,Sonoma
2871,Dundee Hills,Willamette Valley
2872,Napa Valley,Napa
2873,Santa Ynez Valley,Central Coast
2874,Sonoma-Napa,Napa-Sonoma
2875,Santa Maria Valley,Central Coast
2876,Napa Valley,Napa
2877,Santa Ynez Valley,Central Coast
2878,Napa Valley,Napa
2879,Calaveras County,Sierra Foothills
2880,Columbia Valley (WA),Columbia Valley
2881,Alexander Valley,Sonoma
2882,Yakima Valley,Columbia Valley
2883,Russian River Valley,Sonoma
2884,Walla Walla Valley (WA),Columbia Valley
2885,Napa Valley,Napa
2886,Sonoma Coast,Sonoma
2887,Russian River Valley,Sonoma
2888,Russian River Valley,Sonoma
2889,Russian River Valley,Sonoma
2890,Rockpile,Sonoma
2891,Napa Valley,Napa
2892,Napa County,Napa
2893,Santa Clara Valley,Central Coast
2894,Carneros,Napa-Sonoma
2895,Paso Robles,Central Coast
2896,Santa Cruz Mountains,Central Coast
2897,Napa Valley,Napa
2898,Napa Valley,Napa
2899,Napa Valley,Napa
2900,Green Valley,Sonoma
2901,Dry Creek Valley,Sonoma
2902,Yakima Valley,Columbia Valley
2903,Contra Costa County,Central Coast
2904,Stags Leap District,Napa
2905,Sonoma Coast,Sonoma
2906,Rockpile,Sonoma
2907,Napa Valley,Napa
2908,Santa Maria Valley,Central Coast
2909,Columbia Valley (WA),Columbia Valley
2910,Columbia Valley (WA),Columbia Valley
2911,Paso Robles,Central Coast
2912,Columbia Valley (WA),Columbia Valley
2913,Columbia Valley (WA),Columbia Valley
2914,Washington,Washington Other
2915,Washington,Washington Other
2916,Sonoma Coast,Sonoma
2917,Spring Mountain District,Napa
2918,Yakima Valley,Columbia Valley
2919,Columbia Valley (WA),Columbia Valley
2920,Fort Ross-Seaview,Sonoma
2921,Applegate Valley,Southern Oregon
2922,Russian River Valley,Sonoma
2923,Washington,Washington Other
2924,Horse Heaven Hills,Columbia Valley
2925,Columbia Valley (WA),Columbia Valley
2926,Columbia Valley (WA),Columbia Valley
2927,Paso Robles,Central Coast
2928,Horse Heaven Hills,Columbia Valley
2929,Alexander Valley,Sonoma
2930,Eola-Amity Hills,Willamette Valley
2931,California,California Other
2932,Sonoma Coast,Sonoma
2933,Napa Valley,Napa
2934,El Dorado,Sierra Foothills
2935,Dundee Hills,Willamette Valley
2936,Dundee Hills,Willamette Valley
2937,Dundee Hills,Willamette Valley
2938,Paso Robles,Central Coast
2939,Santa Cruz Mountains,Central Coast
2940,Paso Robles Willow Creek District,Central Coast
2941,Santa Maria Valley,Central Coast
2942,Sta. Rita Hills,Central Coast
2943,Coombsville,Napa
2944,Adelaida District,Central Coast
2945,Yorkville Highlands,North Coast
2946,Paso Robles,Central Coast
2947,Coombsville,Napa
2948,Russian River Valley,Sonoma
2949,Russian River Valley,Sonoma
2950,Sonoma County,Sonoma
2951,Columbia Valley (WA),Columbia Valley
2952,Russian River Valley,Sonoma
2953,California,California Other
2954,California,California Other
2955,Santa Cruz Mountains,Central Coast
2956,Russian River Valley,Sonoma
2957,Sonoma Valley,Sonoma
2958,Napa Valley,Napa
2959,Russian River Valley,Sonoma
2960,Santa Lucia Highlands,Central Coast
2961,Santa Barbara County,Central Coast
2962,Napa Valley,Napa
2963,Santa Maria Valley,Central Coast
2964,Russian River Valley,Sonoma
2965,Russian River Valley,Sonoma
2966,Sonoma Valley,Sonoma
2967,Sonoma Coast,Sonoma
2968,Santa Lucia Highlands,Central Coast
2969,Santa Cruz Mountains,Central Coast
2970,Carneros,Napa-Sonoma
2971,North Fork of Long Island,Long Island
2972,Napa Valley,Napa
2973,Napa Valley,Napa
2974,Eola-Amity Hills,Willamette Valley
2975,Napa Valley,Napa
2976,Santa Barbara County,Central Coast
2977,Monterey,Central Coast
2978,Santa Barbara County,Central Coast
2979,North Fork of Long Island,Long Island
2980,North Fork of Long Island,Long Island
2981,Sonoma Valley,Sonoma
2982,Sonoma County,Sonoma
2983,Russian River Valley,Sonoma
2984,North Fork of Long Island,Long Island
2985,Paso Robles,Central Coast
2986,Columbia Valley (WA),Columbia Valley
2987,Red Mountain,Columbia Valley
2988,Red Mountain,Columbia Valley
2989,Napa Valley,Napa
2990,California,California Other
2991,Columbia Valley (WA),Columbia Valley
